time,name,year,event,team
1409,Jocelyn Crawford,2019,50 FREE,Athena
1411,Ava Sealander,2022,50 FREE,Athena
1429,Kelly Ngo,2016,50 FREE,Athena
1451,Helen Liu,2014,50 FREE,Athena
1456,Michele Kee,2014,50 FREE,Athena
1457,Natalia Orbach-M,2020,50 FREE,Athena
1457,Suzia Starzyk,2020,50 FREE,Athena
1467,Katie Bilotti,2010,50 FREE,Athena
1473,Jenni Rinker,2011,50 FREE,Athena
1442,Annika Sharma,2023,50 FREE,Athena
3065,Kelly Ngo,2016,100 FREE,Athena
3084,Jocelyn Crawford,2017,100 FREE,Athena
3101,Michele Kee,2014,100 FREE,Athena
3116,Natalia Orbach-M,2020,100 FREE,Athena
3116,Ava Sealander,2022,100 FREE,Athena
3148,Riley Hoffman,2019,100 FREE,Athena
3125,Emma Jones,2009,100 FREE,Athena
3125,Jenni Rinker,2011,100 FREE,Athena
3134,Janet Tran,2020,100 FREE,Athena
3137,Ella Blake,2022,100 FREE,Athena
110.3,Ella Blake,2022,200 FREE,Athena
111.89,Sarah Heine,2006,200 FREE,Athena
112.4,Katy Shaw,2023,200 FREE,Athena
112.55,Natalia Orbach-M,2022,200 FREE,Athena
112.57,Riley Hoffman,2019,200 FREE,Athena
112.67,Augusta Lewis,2022,200 FREE,Athena
112.8,Leila El Masri,2022,200 FREE,Athena
112.83,Christina Campbell,2020,200 FREE,Athena
112.88,Sun Young Byun,2023,200 FREE,Athena
112.89,Jamee Mitchum,2022,200 FREE,Athena
297.37,Mia Syme,2018,500 FREE,Athena
299.22,Ella Blake,2022,500 FREE,Athena
299.78,Leila El Masri,2022,500 FREE,Athena
300.06,Whitney Dawson,2009,500 FREE,Athena
300.21,Katy Shaw,2023,500 FREE,Athena
300.47,Carliann Brashier,2009,500 FREE,Athena
301.17,Lizzie Carrade,2017,500 FREE,Athena
301.99,Gracey Hiebert,2020,500 FREE,Athena
302.16,Molly Loftus,2014,500 FREE,Athena
302.23,Lauren Williams,2002,500 FREE,Athena
614.33,Whitney Dawson,2009,1000 FREE,Athena
615.4,Mia Syme,2019,1000 FREE,Athena
622.59,Carliann Brashier,2009,1000 FREE,Athena
622.84,Lizzie Carrade,2017,1000 FREE,Athena
624.14,Molly Loftus,2014,1000 FREE,Athena
624.82,Lauren Williams,1999,1000 FREE,Athena
626.34,Gracey Hiebert,2022,1000 FREE,Athena
626.89,Ella Blake,2022,1000 FREE,Athena
633.15,Leila El Masri,2022,1000 FREE,Athena
636.6,L Rosenberger,2017,1000 FREE,Athena
1018.48,Whitney Dawson,2009,1650 FREE,Athena
1023.21,Mia Syme,2019,1650 FREE,Athena
1026.78,Carliann Brashier,2009,1650 FREE,Athena
1029.09,Lauren Williams,1998,1650 FREE,Athena
1029.26,Lizzie Carrade,2017,1650 FREE,Athena
1032.18,Gracey Hiebert,2020,1650 FREE,Athena
1032.46,Ella Blake,2022,1650 FREE,Athena
1033.58,Molly Loftus,2014,1650 FREE,Athena
1041.98,Katy Shaw,2023,1650 FREE,Athena
1044.49,L Rosenberger,2016,1650 FREE,Athena
3366,Kelly Ngo,2015,100 BACK,Athena
3367,Jocelyn Crawford,2017,100 BACK,Athena
3391,Jamee Mitchum,2022,100 BACK,Athena
3371,Katie Bilotti,2010,100 BACK,Athena
3434,Tessa Dover,2010,100 BACK,Athena
3443,Sammy Ennis,2022,100 BACK,Athena
3438,Sun Young Byun,2023,100 BACK,Athena
3456,Annika Jessen,2014,100 BACK,Athena
3467,Elsa Cheng,2011,100 BACK,Athena
3476,Jenni Rinker,2009,100 BACK,Athena
119.91,Jamee Mitchum,2022,200 BACK,Athena
122.1,Tessa Dover,2010,200 BACK,Athena
123.73,Ivy Chen,2017,200 BACK,Athena
123.85,Christina Campbell,2020,200 BACK,Athena
123.92,Sammy Ennis,2022,200 BACK,Athena
125.1,Natalie Larsen,2019,200 BACK,Athena
125.56,Jenni Rinker,2011,200 BACK,Athena
125.71,Anna Werts,2022,200 BACK,Athena
125.76,Natalie Green,2014,200 BACK,Athena
126.13,Quinn Katayama-S,2023,200 BACK,Athena
61.84,Annie Perizzolo,2010,100 BREAST,Athena
63.28,Augusta Lewis,2022,100 BREAST,Athena
63.51,C Bacon-Brenes,2017,100 BREAST,Athena
63.91,Mackenzie Mayfield,2023,100 BREAST,Athena
64.16,Bryn Edwards,2017,100 BREAST,Athena
64.19,Rachel Wander,2020,100 BREAST,Athena
64.65,Kelly Ngo,2014,100 BREAST,Athena
64.66,Zuzia Starzyk,2020,100 BREAST,Athena
64.77,Suzy Nicoletti,2002,100 BREAST,Athena
64.94,Kelly Prawira,2023,100 BREAST,Athena
134.83,Annie Perizzolo,2010,200 BREAST,Athena
135.62,Augusta Lewis,2022,200 BREAST,Athena
138.99,Kelly Prawira,2023,200 BREAST,Athena
139.06,C Bacon-Brenes,2017,200 BREAST,Athena
139.78,Emily McKinnon,2015,200 BREAST,Athena
140.01,Kelly Ngo,2014,200 BREAST,Athena
141.17000000000002,Suzy Nicoletti,2002,200 BREAST,Athena
141.77,Mackenzie Mayfield,2023,200 BREAST,Athena
142.34,Rachel Wander,2022,200 BREAST,Athena
142.82999999999998,Bryn Edwards,2017,200 BREAST,Athena
3316,Katelyn Dang,2022,100 FLY,Athena
3332,Ava Sealander,2022,100 FLY,Athena
3333,Katie Bilotti,2010,100 FLY,Athena
3323,Sun Young Byun,2023,100 FLY,Athena
3374,Michele Kee,2011,100 FLY,Athena
3364,Annika Jessen,2014,100 FLY,Athena
3387,Mackenzie Mayfield,2023,100 FLY,Athena
3402,Lorea Gwo,2015,100 FLY,Athena
3407,Stephanie Doi,2017,100 FLY,Athena
3416,Jamee Mitchum,2020,100 FLY,Athena
121.84,Augusta Lewis,2023,200 FLY,Athena
122.58,Katelyn Dang,2022,200 FLY,Athena
123.8,Michele Kee,2012,200 FLY,Athena
124.05,Ava Sealander,2020,200 FLY,Athena
124.42,Annie Johnson,2023,200 FLY,Athena
124.81,Annika Jessen,2014,200 FLY,Athena
126.4,Arisa Cowe,2020,200 FLY,Athena
127.12,Maya Kale,2013,200 FLY,Athena
127.33,Naomi Ngo,2017,200 FLY,Athena
127.42,Allyson Yao,2022,200 FLY,Athena
120.69,Augusta Lewis,2023,200 IM,Athena
123.59,Jamee Mitchum,2022,200 IM,Athena
123.79,Michele Kee,2012,200 IM,Athena
124.74,Mackenzie Mayfield,2023,200 IM,Athena
125.41,Stephanie Doi,2016,200 IM,Athena
126.82,Allyson Yao,2023,200 IM,Athena
127.12,Suzy Nicoletti,2002,200 IM,Athena
127.14,Natalie Larsen,2020,200 IM,Athena
127.81,Lisal Smith,2004,200 IM,Athena
127.94,Emily McKinnon,2015,200 IM,Athena
1389,Ava Sealander,2022,50 FREE-Relay Spl.,Athena
1412,Helen Liu,2014,50 FREE-Relay Spl.,Athena
1413,Natalia Orbach-M,2018,50 FREE-Relay Spl.,Athena
1415,Jocelyn Crawford,2017,50 FREE-Relay Spl.,Athena
1407,Katie Bilotti,2010,50 FREE-Relay Spl.,Athena
1411,Kelly Ngo,2014,50 FREE-Relay Spl.,Athena
1413,Michele Kee,2012,50 FREE-Relay Spl.,Athena
1418,Lexi Punishill,2023,50 FREE-Relay Spl.,Athena
1425,Zuzia Starzyk,2020,50 FREE-Relay Spl.,Athena
1427,Annika Sharma,2023,50 FREE-Relay Spl.,Athena
3065,Natalia Orbach-M,2019,100 FREE-Relay Spl.,Athena
3067,Michele Kee,2012,100 FREE-Relay Spl.,Athena
3092,Kelly Ngo,2017,100 FREE-Relay Spl.,Athena
